::ffff:127.0.0.1 - - [14/Jul/2021:13:35:46 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::1 - - [14/Jul/2021:22:23:09 +0000] "GET /api/v1/books HTTP/1.1" 200 9286 "-" "PostmanRuntime/7.28.1"

::1 - - [15/Jul/2021:09:27:35 +0000] "GET /api/v1/users HTTP/1.1" 200 500 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:27:59 +0000] "GET /api/v1/books HTTP/1.1" 200 9286 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:28:23 +0000] "POST //api/v1/comments HTTP/1.1" 404 156 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:36:55 +0000] "POST //api/v1/comments HTTP/1.1" 404 156 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:37:21 +0000] "POST /api/v1/comments HTTP/1.1" 401 211 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:37:38 +0000] "POST /api/v1/users/login HTTP/1.1" 200 434 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:37:43 +0000] "POST /api/v1/comments HTTP/1.1" 401 211 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:38:03 +0000] "POST /api/v1/comments HTTP/1.1" 500 80 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:38:37 +0000] "POST /api/v1/users/login HTTP/1.1" 200 434 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:39:28 +0000] "POST /api/v1/users/login HTTP/1.1" 200 434 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:39:37 +0000] "POST /api/v1/comments HTTP/1.1" 500 812 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:44:21 +0000] "POST /api/v1/comments HTTP/1.1" 500 812 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:44:52 +0000] "POST /api/v1/comments HTTP/1.1" 500 812 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:45:44 +0000] "POST /api/v1/comments HTTP/1.1" 500 63 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:46:23 +0000] "POST /api/v1/comments HTTP/1.1" 500 1619 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:46:46 +0000] "POST /api/v1/comments HTTP/1.1" 500 1570 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:55:35 +0000] "POST /api/v1/comments HTTP/1.1" 500 1619 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:55:42 +0000] "POST /api/v1/comments HTTP/1.1" 500 1603 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:09:56:33 +0000] "POST /api/v1/comments HTTP/1.1" 500 1619 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:10:00:32 +0000] "POST /api/v1/comments HTTP/1.1" 500 1619 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:10:04:09 +0000] "POST /api/v1/comments HTTP/1.1" 500 1619 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:10:04:51 +0000] "POST /api/v1/comments HTTP/1.1" 200 168 "-" "PostmanRuntime/7.28.2"
::1 - - [15/Jul/2021:10:12:50 +0000] "POST /api/v1/comments HTTP/1.1" 200 168 "-" "PostmanRuntime/7.28.2"
